,TP9,AF7,AF8,TP10,Right AUX,timestamps
85,-399.414062,-842.773438,-669.921875,947.265625,-791.503906,0.343978
86,43.945312,-924.804688,-707.519531,-940.429688,-479.980469,0.347884
87,-627.929688,-782.714844,-833.007812,-131.347656,-689.941406,0.351791
88,-1000.000000,-615.722656,-871.582031,-1000.000000,-950.195312,0.355697
89,-978.027344,-634.277344,-781.250000,-524.414062,-959.472656,0.359603
90,-615.722656,-789.062500,-603.515625,808.593750,-591.308594,0.363509
91,-181.152344,-891.113281,-595.214844,-850.097656,-115.234375,0.367416
92,-613.769531,-789.550781,-782.714844,45.898438,-503.417969,0.371322
93,-981.445312,-627.929688,-887.207031,-1000.000000,-968.261719,0.375228
94,-1000.000000,-623.046875,-815.917969,-735.351562,-976.562500,0.379134
95,-643.066406,-780.273438,-645.996094,583.007812,-744.140625,0.383041
96,63.964844,-921.875000,-666.503906,-788.085938,-482.910156,0.380212
97,-402.343750,-821.289062,-811.035156,127.929688,-598.144531,0.384119
98,-991.699219,-635.742188,-868.164062,-1000.000000,-866.210938,0.388025
99,-1000.000000,-613.769531,-842.285156,-937.988281,-1000.000000,0.391931
100,-666.992188,-764.648438,-696.777344,282.226562,-883.300781,0.395837
101,-18.066406,-904.785156,-636.230469,-751.464844,-448.242188,0.399744
102,-451.171875,-821.777344,-743.164062,182.128906,-379.882812,0.403650
103,-1000.000000,-647.949219,-838.867188,-1000.000000,-791.015625,0.407556
104,-1000.000000,-611.328125,-842.773438,-1000.000000,-1000.000000,0.411462
105,-743.164062,-750.488281,-705.078125,53.710938,-878.906250,0.415369
106,-198.242188,-881.835938,-577.148438,-753.906250,-277.343750,0.419275
107,-431.640625,-832.519531,-705.078125,240.722656,-294.921875,0.423181
108,-916.503906,-679.687500,-873.535156,-982.910156,-884.277344,0.414648
109,-1000.000000,-599.609375,-833.984375,-1000.000000,-973.632812,0.418555
110,-782.226562,-722.656250,-687.500000,-85.449219,-876.464844,0.422461
111,-14.648438,-906.250000,-649.414062,-776.855469,-612.792969,0.426367
112,-141.601562,-881.347656,-768.554688,368.652344,-525.390625,0.430273
113,-893.066406,-682.128906,-832.519531,-922.363281,-710.449219,0.434180
114,-1000.000000,-578.125000,-800.292969,-1000.000000,-855.957031,0.438086
115,-770.019531,-715.820312,-737.304688,-187.011719,-990.722656,0.441992
116,-210.449219,-876.953125,-614.257812,-822.265625,-477.050781,0.445898
117,-309.082031,-866.210938,-664.062500,546.386719,-134.765625,0.449805
118,-824.707031,-717.773438,-854.492188,-800.781250,-719.238281,0.453711
119,-1000.000000,-602.050781,-875.488281,-1000.000000,-978.515625,0.457617
120,-860.351562,-701.660156,-771.972656,-216.796875,-993.164062,0.475014
121,-142.578125,-878.906250,-667.968750,-865.234375,-748.046875,0.478920
122,8.300781,-909.179688,-735.351562,709.472656,-503.906250,0.482826
123,-739.746094,-743.164062,-856.933594,-652.343750,-790.527344,0.486733
124,-1000.000000,-593.261719,-857.421875,-1000.000000,-960.449219,0.490639
125,-902.832031,-661.132812,-743.164062,-239.746094,-919.921875,0.494545
126,-416.015625,-827.636719,-594.726562,-946.777344,-495.605469,0.498451
127,-179.199219,-883.789062,-639.648438,926.757812,-134.277344,0.502358
128,-695.800781,-760.253906,-828.125000,-336.425781,-640.625000,0.506264
129,-1000.000000,-613.769531,-875.000000,-1000.000000,-972.167969,0.510170
130,-941.894531,-667.480469,-797.363281,-382.812500,-1000.000000,0.514076
131,-375.976562,-834.960938,-654.785156,939.941406,-773.437500,0.517983
132,71.289062,-912.597656,-684.570312,-930.175781,-473.144531,0.520100
133,-568.359375,-778.320312,-826.171875,-106.445312,-733.886719,0.524006
134,-1000.000000,-612.304688,-873.535156,-1000.000000,-960.937500,0.527913
135,-969.726562,-641.601562,-821.777344,-553.222656,-1000.000000,0.531819
136,-474.609375,-812.988281,-671.875000,776.855469,-823.730469,0.535725
137,10.742188,-912.109375,-647.949219,-829.589844,-354.003906,0.539631
138,-581.542969,-786.132812,-761.230469,102.539062,-409.667969,0.543538
139,-1000.000000,-607.421875,-808.593750,-1000.000000,-750.000000,0.547444
140,-985.839844,-617.675781,-788.574219,-777.343750,-944.824219,0.551350
141,-559.082031,-790.527344,-679.687500,540.527344,-878.417969,0.555256
142,-73.242188,-895.507812,-597.167969,-781.250000,-251.464844,0.559163
143,-515.136719,-804.199219,-743.652344,137.207031,-404.296875,0.563069
144,-968.261719,-644.042969,-877.441406,-1000.000000,-954.589844,0.555004
145,-1000.000000,-619.628906,-846.679688,-937.500000,-990.234375,0.558910
146,-624.511719,-773.925781,-704.589844,286.132812,-905.273438,0.562816
147,116.210938,-918.945312,-661.621094,-751.953125,-572.753906,0.566722
148,-268.554688,-838.378906,-795.898438,178.222656,-559.082031,0.570629
149,-962.890625,-636.718750,-826.660156,-1000.000000,-757.812500,0.574535
150,-1000.000000,-583.007812,-784.667969,-1000.000000,-883.789062,0.578441
151,-650.390625,-752.441406,-712.402344,50.781250,-1000.000000,0.582347
152,-83.984375,-890.625000,-589.843750,-754.394531,-396.484375,0.586254
153,-398.437500,-833.496094,-697.265625,258.300781,-229.492188,0.590160
154,-902.832031,-677.734375,-851.562500,-971.679688,-865.722656,0.594066
155,-1000.000000,-599.609375,-824.707031,-1000.000000,-985.351562,0.597972
