,times,messages
0,10.22343635559082,started calibrating
1,17.076350212097168,stopped calibrating
2,33.67287850379944,close
3,46.37905979156494,open
4,68.11551141738892,close
5,82.56220722198486,oopen
6,93.93326210975647,close
7,110.72031855583191,open
